time,longitude,latitude,altitude_2,speed_2,time_2,music_2,conversation_2
1446061880,-86.7836825,36.1617616,155,1.2,540,0,J: we got an ad/H: oh no/H: sam cooke/A: this is different/H: change is gonna come.. this is a famous song
1446061890,-86.7835731,36.161814,155,0.8,545,0,
1446061895,-86.7835235,36.1618341,155,0.9,550,0,
1446061900,-86.7834532,36.1618535,156,1,555,0,
1446061905,-86.7833864,36.1618616,156,1.3,560,0,
1446061910,-86.7833212,36.1618748,157,1.3,565,0,
1446061915,-86.783298,36.1618845,157,1.1,570,0,
1446061920,-86.7832407,36.161922,157,0.9,575,1,
1446061925,-86.7831737,36.1619472,157,1,580,1,
1446061930,-86.7831105,36.1619666,157,0.9,585,1,
1446061935,-86.7830546,36.1620059,156,0.8,590,1,
1446061940,-86.7829995,36.1620243,156,1,595,1,
1446061945,-86.7829329,36.1620587,156,1,600,1,J: any more blogs.. not yet?/H: haha they are neat/J: uh they're cameras.. yep/H: what's it look like Ally?/A: it's a historical picture of a sit in at a store which I'm pretty sure is like one block over/H: used to be right here? or close to here?/A: yea/H: ok/J: so not a restaurant it's about shopping?/A: I don't know/J: oh
1446061950,-86.782871,36.1620945,156,1,605,1,
1446061955,-86.7828241,36.1621259,156,0.7,610,1,
1446061960,-86.7828009,36.1621389,156,0.8,615,1,
1446061965,-86.7827246,36.1621059,156,0.7,620,1,
1446061970,-86.7827288,36.1621144,155,0.2,625,1,
1446061975,-86.7827326,36.162146,155,0.8,630,1,
1446061980,-86.7827495,36.1621659,155,0.3,635,1,
1446061985,-86.7827725,36.162166,155,0.3,640,1,
1446061990,-86.7827571,36.1621751,155,0.2,645,1,
1446061995,-86.782728,36.1622028,155,1.2,650,1,
1446062000,-86.782647,36.1622211,154,1.3,655,1,
1446062005,-86.7825721,36.1622469,155,0.9,660,1,H: yea we can walk/A: oh no/J: so around here the shop would have been?/A: think so or maybe it was here and they tore it down/J: ok/A: I'm having some technical difficulty/J: up that way/H: let me see
1446062010,-86.7825905,36.1622946,155,1.2,665,1,
1446062015,-86.7826019,36.1623232,155,1.3,670,1,
1446062020,-86.7825112,36.1623433,156,2,675,1,
1446062025,-86.7823533,36.1623251,155,1.5,680,1,
1446062030,-86.7822714,36.1623612,155,1.4,685,1,
1446062035,-86.7822101,36.1624016,155,1.3,690,1,
1446062040,-86.782148,36.1624282,155,1.4,695,1,
1446062045,-86.7821003,36.162458,155,0.9,700,1,
1446062050,-86.7820571,36.1624755,155,0.2,705,1,
1446062055,-86.7820561,36.1624737,155,0,710,1,
1446062060,-86.7820561,36.1624737,155,0,715,1,
1446062065,-86.7820561,36.1624737,155,0,720,1,J: let's appreciate change is gonna come/H: were are we?/A: underneath the loading/H: oh ok/H: it's trying to load/A: maybe it found the text/H: that would be nice/H: has any text loaded for you guys yet?/M: I don't think so right we're not getting text no we're not getting text/H: we have like a long loading circle /A: * ok it's back/H: oh never mind ok/A: we missed it we were supposed to turn up there/H: ok/A: whoops/A: so this is the building I guess then/H: ok yeah.. pull up that original (inaudble)/A: hates me/H: well livetrekker is not being cooperative
1446062070,-86.7820561,36.1624737,157,0,725,1,
1446062075,-86.7820561,36.1624737,156,0,730,1,
1446062080,-86.7820561,36.1624737,155,0,735,1,
1446062085,-86.7820561,36.1624737,155,0,740,1,
1446062090,-86.7820561,36.1624737,155,0,745,1,
1446062095,-86.7820812,36.1624534,155,0.7,750,1,
1446062100,-86.7821371,36.1624291,155,1.2,755,1,
1446062105,-86.7821904,36.1623153,155,2.8,760,1,
1446062110,-86.7822713,36.1622149,155,1.2,765,1,
1446062115,-86.7823271,36.1621824,156,1,770,1,
1446062120,-86.7823745,36.1621805,156,0.9,775,1,
1446062125,-86.7824288,36.1621825,156,0.9,780,1,J: we shall overcome/H: sounds like a folk song/J: here maybe/A: hmhm/A: it's back/H: ok (laughing)
1446062130,-86.7825067,36.1621879,156,1.8,785,1,
1446062135,-86.7825684,36.1622309,157,0.9,790,1,
1446062140,-86.7826321,36.1622548,157,0.9,795,1,
1446062145,-86.7826761,36.1623091,157,1.1,800,1,
1446062150,-86.7827175,36.1623517,158,1,805,1,
1446062155,-86.7827556,36.1623689,158,1,810,1,
1446062160,-86.7828108,36.1623873,159,1.1,815,1,
1446062165,-86.7828883,36.1623949,160,0.9,820,1,
1446062170,-86.7829188,36.1624582,160,1.7,825,1,
1446062175,-86.7829295,36.1625296,160,1.5,830,1,
1446062180,-86.7829558,36.1625842,160,1.1,835,1,
1446062185,-86.7829482,36.1626573,161,1.3,840,1,H: did it just close all of a sudden/A: yep!/H: mine was doing that earlier also (inaudible)/A: I have forty six percent battery/J: you want me to try it on mine/H: that might not be a bad idea just ditch the youtube videos for a second jsut see if we can get it to work on somebody's phone.. that's exactly what it was doing to me try to open it and then it would immediately close/A: maybe I'll try the youtube now/M: is your phone dead?/H: my phone just died/M: oh yea! I gotta a charger if you need it here give me your phone/H: yea that would be awesome/M: or I guess you can just use andy's we'll use yours/H: go for it ally's phone is now doing the/M: they'll just have to charge up first/A: we're switching purposes/J: we're on we shall overcome just so you know/A: * ok
1446062190,-86.7829499,36.1627227,161,1.1,845,1,
1446062195,-86.7829445,36.1627647,160,0.8,850,1,
1446062200,-86.7829615,36.1627981,160,0.9,855,1,
1446062205,-86.7829676,36.1628531,161,1.2,860,1,
1446062210,-86.782969,36.1628736,161,0.2,865,1,
1446062215,-86.7829772,36.1628772,161,0.4,870,0,
1446062220,-86.7829881,36.1628731,161,0,875,0,
1446062225,-86.7829941,36.162863,163,0,880,0,
1446062230,-86.7829941,36.162863,163,0,885,0,
1446062235,-86.7829941,36.162863,164,0,890,0,
1446062240,-86.7829941,36.162863,164,0,895,0,
1446062245,-86.7829941,36.162863,164,0,900,0,J: how do I I want to start the no/A: you just have to swipe keep swiping that's the missing text/J: ok/A: * that's where we just were/J: ok we just were that's a video that can't load they're playing video no biggie ok that looks kind of familiar is that of no/H: so this is supposed to be on church we're on seventh right now/A: should we go to church/H: yea back this way so we need to go back to church and then follow capitol and then across/J: ok/H: so we've already been up here/J: doesn't it make you want to march?/A: do you want to march?/J: a little
1446062250,-86.7829941,36.162863,163,0,905,0,
1446062255,-86.7829941,36.162863,163,0,910,0,
1446062260,-86.7829941,36.162863,163,0,915,0,
1446062265,-86.7829941,36.162863,164,0,920,0,
1446062270,-86.7829941,36.162863,164,0,925,0,
1446062275,-86.7829908,36.1628665,164,0.2,930,0,
1446062280,-86.7829908,36.1628665,162,0,935,0,
1446062285,-86.7829841,36.1628612,161,0.2,940,1,
1446062290,-86.7829722,36.1628453,161,1,945,1,
1446062295,-86.7829439,36.1627829,162,1,950,1,
1446062300,-86.7829146,36.1627291,163,1,955,1,
1446062305,-86.7828877,36.1626613,164,1.1,960,1,H: livetrekker had it's own ideas for where we're gonna go/A: well it keeps jumping around which is the problem I had before it stopped working/H: * yea/H: it's working fine on andy's phone/A: will spotify play if you're not looking at it?/H: yes yes/J: we win/H: yea/A: are you sure you're on the right point
1446062310,-86.7828746,36.162594,163,1.2,965,1,
1446062315,-86.7828491,36.1625302,162,1.1,970,1,
1446062320,-86.7828437,36.1624625,162,1.2,975,1,
1446062325,-86.7828139,36.1623979,162,1.3,980,1,
1446062330,-86.7828151,36.1623156,162,1.5,985,1,
1446062335,-86.7828043,36.1622429,162,1.2,990,1,
1446062340,-86.7827731,36.1621711,161,1.4,995,1,
1446062345,-86.7827531,36.162123,160,1.4,1000,1,
1446062350,-86.7827399,36.1621126,160,1,1005,1,
1446062355,-86.7827726,36.1621035,160,0.9,1010,1,
1446062360,-86.7828068,36.1621361,159,0.8,1015,1,
1446062365,-86.7828001,36.1621372,160,0.3,1020,1,H: yea we're coming up right here on/A: ok/J: wait weren't we just here/H: oh wait wait wait/A: I knew we had to go back or something/H: * this way yea/H: that sixth up there? yea/A: that is sixth/H: ok/A: this is capitol/H: yep so we can take a left here and then we looks like we cut across along this 
1446062370,-86.7827397,36.1621846,159,1.4,1025,1,
1446062375,-86.782653,36.1622104,159,1.2,1030,1,
1446062380,-86.7825776,36.1622397,160,1.9,1035,1,
1446062385,-86.7825032,36.1622685,159,1.4,1040,1,
1446062390,-86.7823948,36.1622483,158,1.4,1045,1,
1446062395,-86.7823191,36.1622839,159,1.3,1050,1,
1446062400,-86.7822633,36.162331,161,1.4,1055,1,
1446062405,-86.7822042,36.1623557,160,1.1,1060,1,
1446062410,-86.7821047,36.1623569,159,1.2,1065,1,
1446062415,-86.7820334,36.1623932,156,1.4,1070,1,
1446062420,-86.7819719,36.1624386,156,1.4,1075,1,
1446062425,-86.7819243,36.1624919,155,1.2,1080,1,H: through the arcade I guess is maybe is that where that's going?/A: the arcade would be 2 blocks.. another block further/H: * oh yea you're right/H: so this goes about half way up capitol/A: the area around the capitol building is like a circle/H: ok/A: so we could be just looping around it/H: looks like we're goin/H: or we could just walk over to the next point which is on sixth/A: whatever you want to do/A: this we shall overcome video is trying to convince me that I should be doing more/H: here's a picture that actually comes up picketers mostly college students in front of the cross keys restaurant from march 30th
1446062430,-86.7819042,36.1625516,156,1.1,1085,1,
1446062435,-86.7819638,36.1626253,156,1.5,1090,1,
1446062440,-86.7820242,36.1626698,156,1.1,1095,1,
1446062445,-86.7820684,36.1627313,156,0.9,1100,1,
1446062450,-86.7820997,36.1627519,157,1,1105,1,
1446062455,-86.7821359,36.1627917,157,1.1,1110,1,
1446062460,-86.7821713,36.1628522,157,1.1,1115,1,
1446062465,-86.7822076,36.1629041,158,1.1,1120,1,
1446062470,-86.7822401,36.1629485,158,1,1125,1,
1446062475,-86.7822565,36.1630305,159,1.3,1130,1,
1446062480,-86.7822758,36.1630825,160,1.1,1135,1,
1446062485,-86.7823217,36.163119,160,1.1,1140,1,J: so do you think cross keys is gone now?/H: * we can/J: * we got caesars/J: cuz they want us to go through this ally?/H: think it might/J: the italian food smells so good/H: this at least gets us over to sixth/H: ours was at least easy to follow cuz it was straight up and back (laughing)/J: to the left now?/H: I think it looks like it's slightly down there's some there there looks like a plaque or something
1446062490,-86.7823619,36.1631585,160,1,1145,1,
1446062495,-86.7823501,36.1631919,160,0.9,1150,1,
1446062500,-86.7823205,36.1632388,160,1.2,1155,1,
1446062505,-86.7823018,36.1632803,160,1.3,1160,1,
1446062510,-86.7822066,36.1632846,159,1.4,1165,1,
1446062515,-86.7821469,36.1633315,158,1.2,1170,1,
1446062525,-86.7819816,36.1633554,158,1.1,1180,1,
1446062530,-86.7819227,36.163362,158,0.3,1185,1,
1446062535,-86.7819033,36.1633566,158,0,1190,1,
1446062540,-86.7818882,36.1633527,158,0.2,1195,1,
