time,longitude,latitude,altitude_1,speed_1
1441137270,-86.8180365,36.1683605,134,0.3
1441137275,-86.8180805,36.1683355,133,0.4
1441137280,-86.8181106,36.1683232,133,0
1441137285,-86.8181106,36.1683232,133,0
1441137290,-86.8181106,36.1683232,132,0
1441137295,-86.8181106,36.1683232,132,0
1441137300,-86.8181106,36.1683232,133,0
1441137305,-86.8181106,36.1683232,133,0
1441137310,-86.8180799,36.1683311,133,0.9
1441137315,-86.8181156,36.1683686,134,0.8
1441137320,-86.8181139,36.1684045,134,1
1441137325,-86.8180955,36.168454,133,0.2
1441137330,-86.8180944,36.1684521,133,0.6
1441137335,-86.818083,36.1684271,133,0.6
1441137340,-86.8180955,36.1684202,132,0.8
1441137345,-86.8180933,36.1684117,133,0.3
1441137350,-86.8180873,36.1684051,132,0.2
1441137355,-86.8180741,36.1684215,132,0.8
1441137360,-86.8180337,36.1683926,133,0.7
1441137365,-86.8180163,36.1683825,133,0.3
1441137370,-86.8180489,36.1683739,134,0.9
1441137375,-86.8179955,36.1684165,133,0.5
1441137380,-86.8180082,36.1683806,133,0.5
1441137385,-86.8180832,36.1683368,134,1.4
1441137390,-86.8181132,36.1683031,133,0.6
1441137395,-86.818194,36.1682348,132,1.1
1441137400,-86.8182124,36.1682075,132,0.8
1441137405,-86.8181005,36.1681562,133,0.5
1441137410,-86.8180642,36.1681395,134,0.4
1441137420,-86.8180725,36.1680404,135,1.5
1441137425,-86.8180155,36.1681326,135,0.5
1441137430,-86.8180341,36.1682152,135,0.6
1441137435,-86.8180966,36.1682087,133,0.7
1441137440,-86.8181267,36.1681979,134,0.5
1441137445,-86.8181281,36.1681918,133,0
1441137450,-86.8181071,36.1682227,132,0
1441137455,-86.8180858,36.1682157,133,0
1441137460,-86.8180747,36.1682148,133,0.5
1441137465,-86.8180904,36.1682068,134,0.3
1441137470,-86.8181052,36.1682247,133,0.5
1441137475,-86.8180981,36.1682372,133,0.6
1441137480,-86.8181109,36.168204,133,0.2
1441137485,-86.8180988,36.1682015,134,0.3
1441137490,-86.8180523,36.1682171,134,1.1
1441137495,-86.8180214,36.1682389,134,0.4
1441137500,-86.8179933,36.1683681,134,0.6
1441137505,-86.8179856,36.1683264,135,0.3
1441137510,-86.8179974,36.1682979,135,0.2
1441137515,-86.8180378,36.1682751,135,0
1441137520,-86.8180378,36.1682751,134,0
1441137525,-86.8180378,36.1682751,133,0
1441137530,-86.8180378,36.1682751,134,0
1441137535,-86.8180469,36.1682555,134,0.8
